CrashID,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,LightCond,Locality,Longitude
103254237,Straight - Level,Unknown,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35.910929,Daylight,Urban (>70% Developed),-79.067328
103254297,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.218795,Daylight,Urban (>70% Developed),-80.814111
103254918,Straight - Grade,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,"Driveway, Private",Smooth Asphalt,Piedmont,Urban,5 - 15 MPH,No Control Present,Clear,No,36.045751,Daylight,Urban (>70% Developed),-79.839194
103254995,Straight - Level,Local Street,Wet,"One-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Mountains,Urban,20 - 25  MPH,Stop And Go Signal,Rain,No,35.594642,Daylight,Urban (>70% Developed),-82.55399
103255016,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,Four-Way Intersection,Smooth Asphalt,Mountains,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.565955,Daylight,Urban (>70% Developed),-82.543264
103255142,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Coastal,Rural,20 - 25  MPH,Stop And Go Signal,Clear,No,36.114527,Daylight,Urban (>70% Developed),-75.720221
103255234,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Cloudy,No,35.85872,Dawn,Mixed (30% To 70% Developed),-78.711997
103255518,Straight - Grade,NC Route,Dry,"Two-Way, Divided, Unprotected Median",None,Y-Intersection,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,Stop Sign,Clear,No,35.984809,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.981549
103255575,Straight - Hillcrest,State Secondary Route,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.169772,Dark - Roadway Not Lighted,Urban (>70% Developed),-79.405223
103256021,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,On or Off Ramp,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Cloudy,No,35.751517,Daylight,Urban (>70% Developed),-78.648334
103256548,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,36.088072,Daylight,Urban (>70% Developed),-80.27624
103257474,Straight - Level,NC Route,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Rural,50 - 55  MPH,Stop And Go Signal,Clear,No,35.828084,Daylight,Urban (>70% Developed),-80.91856
103257637,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35.116603,Daylight,Urban (>70% Developed),-80.858246
103258116,Straight - Grade,US Route,Dry,"Two-Way, Not Divided",None,Missing,Smooth Asphalt,Mountains,Urban,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,36.187224,Daylight,Urban (>70% Developed),-81.652761
103258611,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Coastal,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.271189,Daylight,Urban (>70% Developed),-77.580733
103259468,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Missing,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,No Control Present,Clear,No,34.215443,Daylight,Urban (>70% Developed),-77.879418
103259723,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Cloudy,No,35.40436,Daylight,Urban (>70% Developed),-80.714276
103259956,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Missing,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,No Control Present,Clear,No,35.911214,Dark - Lighted Roadway,Urban (>70% Developed),-79.060548
103260343,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Mountains,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.452905,Daylight,Rural (<30% Developed),-81.542972
103260480,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,Stop Sign,Clear,No,36.306459,Daylight,Urban (>70% Developed),-76.21892
103260553,Straight - Level,US Route,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Coastal,Urban,40 - 45  MPH,Stop And Go Signal,Cloudy,No,34.760696,Daylight,Urban (>70% Developed),-77.41545
103260590,Straight - Level,Local Street,"Water (Standing, Moving)","Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Coastal,Urban,20 - 25  MPH,Stop Sign,Clear,No,34.778247,Daylight,Urban (>70% Developed),-77.43094
